,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,label
36,126.7926,89.58461,-6.9141164,14.710001,-2.1366284,7.037744,-0.9239937,2.8993216,-1.1032299,0.40855685,0.5185926,1.6285617,1.2081398,1
37,101.74948,79.51477,-1.5716753,22.055914,-1.0690156,9.9514065,2.39187,4.9722176,3.1633081,5.8419228,3.2155015,2.4503982,1.7609323,1
38,126.872765,69.892166,1.337817,12.369617,-4.176754,11.1148205,-0.3234834,6.72171,2.0738914,5.4630537,1.5369251,0.42044905,2.086417,1
39,91.71956,102.55391,-3.4899912,19.868427,2.433529,11.034885,4.0352073,6.1880846,1.4134734,3.5852327,2.8569956,1.9095359,2.6536493,1
40,98.51492,78.9762,-10.362409,17.93623,3.023592,8.144955,1.9536965,3.705351,0.2305866,1.9573829,1.9547684,4.557252,4.1513042,1
41,113.452385,92.124565,-14.716703,10.614536,-6.527273,6.209407,-1.366107,3.228075,3.3065114,1.2268324,0.18147282,-0.1708646,-0.16989903,1
42,105.665054,79.10536,1.7720329,18.529615,2.1787062,10.275007,0.97455627,6.073136,0.9386375,2.0309331,-0.39480513,0.42622578,0.96615183,1
43,113.705605,78.09161,-3.390799,18.73892,-3.6722276,9.280633,1.9998635,6.737136,3.8805358,7.225859,4.3194847,0.92577684,1.5553628,1
44,100.47844,96.52281,-6.39324,16.70795,-0.637084,10.827379,2.2761378,3.480576,1.6545541,2.1697261,3.0989847,3.9960642,2.6684842,1
45,133.00958,69.31261,-6.3748417,12.478303,-5.7053576,10.269273,2.3662002,8.111292,4.274441,5.9597554,4.3169165,3.9522448,3.6612756,1
46,125.259964,79.17941,-13.884743,15.680138,0.6634779,8.187252,1.7998786,5.147752,1.9520259,1.0027837,-0.92788935,0.06373941,0.90682685,1
